,Portfolio Value,Cash,Units
0,10000.0,28365.0,-32.10193836619989
1,9996.468786779718,28365.0,-32.10193836619989
2,10007.70446520789,28365.0,-32.10193836619989
3,10002.568155069297,28365.0,-32.10193836619989
4,9997.110825547043,28365.0,-32.10193836619989
5,9993.258592943097,28365.0,-32.10193836619989
6,9991.97451540845,28365.0,-32.10193836619989
7,9992.295534792112,28365.0,-32.10193836619989
8,10000.963058150986,28365.0,-32.10193836619989
9,10006.099368289579,28365.0,-32.10193836619989
10,10015.729949799439,28365.0,-32.10193836619989
11,10012.519755962818,28365.0,-32.10193836619989
12,10011.23567842817,28365.0,-32.10193836619989
13,10015.087911032113,28365.0,-32.10193836619989
14,10015.408930415775,28365.0,-32.10193836619989
15,10015.087911032113,28365.0,-32.10193836619989
16,10014.124852881128,28365.0,-32.10193836619989
17,10017.816575793242,28365.0,-32.10193836619989
18,10015.408930415775,28365.0,-32.10193836619989
19,10010.112110585354,28365.0,-32.10193836619989
20,10011.556697811831,28365.0,-32.10193836619989
21,10013.482814113804,28365.0,-32.10193836619989
22,10012.198736579157,28365.0,-32.10193836619989
23,10009.63058150986,28365.0,-32.10193836619989
24,10011.877717195495,28365.0,-32.10193836619989
25,10019.582182403381,28365.0,-32.10193836619989
26,10017.656066101412,28365.0,-32.10193836619989
27,10012.198736579157,28365.0,-32.10193836619989
28,10007.062426440563,28365.0,-32.10193836619989
29,10006.42038767324,28365.0,-32.10193836619989
30,10007.70446520789,28365.0,-32.10193836619989
31,10005.778348905917,28365.0,-32.10193836619989
32,10008.667523358874,28365.0,-32.10193836619989
33,10002.889174452957,28365.0,-32.10193836619989
34,9998.073883698029,28365.0,-32.10193836619989
35,10000.160509691832,28365.0,-32.10193836619989
36,9999.67898061634,28365.0,-32.10193836619989
37,9991.65349602479,28365.0,-32.10193836619989
38,9996.147767396056,28365.0,-32.10193836619989
39,10004.173251987606,28365.0,-32.10193836619989
40,10003.691722912114,28365.0,-32.10193836619989
41,10005.136310138592,28365.0,-32.10193836619989
42,9999.357961232676,28365.0,-32.10193836619989
43,10003.852232603946,28365.0,-32.10193836619989
44,10007.70446520789,28365.0,-32.10193836619989
45,10001.926116301973,28365.0,-32.10193836619989
46,10001.60509691831,28365.0,-32.10193836619989
47,10003.21019383662,28365.0,-32.10193836619989
48,10002.889174452957,28365.0,-32.10193836619989
49,10003.531213220282,28365.0,-32.10193836619989
50,10001.60509691831,28365.0,-32.10193836619989
51,9997.431844930703,28365.0,-32.10193836619989
52,9997.110825547043,28365.0,-32.10193836619989
53,9997.110825547043,28365.0,-32.10193836619989
54,9983.628011433238,28365.0,-32.10193836619989
55,9989.406360339153,28365.0,-32.10193836619989
56,9985.233108351547,28365.0,-32.10193836619989
57,9987.15922465352,28365.0,-32.10193836619989
58,9986.196166502536,28365.0,-32.10193836619989
59,9988.443302188169,28365.0,-32.10193836619989
60,9990.36941849014,28365.0,-32.10193836619989
61,9988.122282804507,28365.0,-32.10193836619989
62,9991.65349602479,28365.0,-32.10193836619989
63,9990.36941849014,28365.0,-32.10193836619989
64,9991.332476641126,28365.0,-32.10193836619989
65,9991.332476641126,28365.0,-32.10193836619989
66,9988.086970672304,28365.0,-32.10193836619989
67,9988.603811879999,28365.0,-32.10193836619989
68,9985.875147118873,28365.0,-32.10193836619989
69,9982.985972665914,28365.0,-32.10193836619989
70,9974.639468690702,28365.0,-32.10193836619989
71,9977.528643143662,28365.0,-32.10193836619989
72,9978.331191602816,28365.0,-32.10193836619989
73,9973.355391156054,28365.0,-32.10193836619989
74,9968.058571325631,28365.0,-32.10193836619989
75,9973.676410539718,28365.0,-32.10193836619989
76,9973.355391156054,28365.0,-32.10193836619989
77,9974.639468690702,28365.0,-32.10193836619989
78,9969.503158552112,28365.0,-32.10193836619989
79,9964.366848413518,28365.0,-32.10193836619989
80,9957.946460740279,28365.0,-32.10193836619989
81,9956.66238320563,28365.0,-32.10193836619989
82,9954.254737828165,28365.0,-32.10193836619989
83,9953.45218936901,28365.0,-32.10193836619989
84,9949.278937381403,28365.0,-32.10193836619989
85,9952.970660293517,28365.0,-32.10193836619989
86,9953.45218936901,28365.0,-32.10193836619989
87,9951.205053683376,28365.0,-32.10193836619989
88,9954.89677659549,28365.0,-32.10193836619989
89,9955.859834746476,28365.0,-32.10193836619989
90,9951.205053683376,28365.0,-32.10193836619989
91,9945.105685393797,28365.0,-32.10193836619989
92,9934.351536041122,28365.0,-32.10193836619989
93,9923.918406072107,28365.0,-32.10193836619989
94,9935.475103883939,28365.0,-32.10193836619989
95,9937.112302740616,28365.0,-32.10193836619989
96,9928.412677443375,28365.0,-32.10193836619989
97,9930.499303437178,28365.0,-32.10193836619989
98,9926.00503206591,28365.0,-32.10193836619989
99,9921.189741310978,28365.0,-32.10193836619989
100,9921.992289770134,28365.0,-32.10193836619989
101,9885.71709941633,28365.0,-32.10193836619989
102,9902.089087983091,28365.0,-32.10193836619989
103,9906.90437873802,28365.0,-32.10193836619989
104,9895.187171234356,28365.0,-32.10193836619989
105,9898.557874762808,28365.0,-32.10193836619989
106,9897.594816611823,28365.0,-32.10193836619989
107,9885.396080032668,28365.0,-32.10193836619989
108,9874.802440371821,28365.0,-32.10193836619989
109,9868.38205269858,28365.0,-32.10193836619989
110,9871.592246535201,28365.0,-32.10193836619989
111,9871.592246535201,28365.0,-32.10193836619989
112,9868.38205269858,28365.0,-32.10193836619989
113,9863.085232868158,28365.0,-32.10193836619989
114,9866.45593639661,28365.0,-32.10193836619989
115,9864.208800710974,28365.0,-32.10193836619989
116,9859.714529339708,28365.0,-32.10193836619989
117,9857.467393654073,28365.0,-32.10193836619989
118,9856.825354886749,28365.0,-32.10193836619989
119,9852.33108351548,28365.0,-32.10193836619989
120,9845.268657074917,28365.0,-32.10193836619989
121,9837.88521125069,28365.0,-32.10193836619989
122,9841.737443854636,28365.0,-32.10193836619989
123,9841.737443854636,28365.0,-32.10193836619989
124,9845.910695842242,28365.0,-32.10193836619989
125,9842.218972930128,28365.0,-32.10193836619989
126,9849.701934763289,28365.0,-32.10193836619989
127,9849.120889678861,28365.0,-32.10193836619989
128,9845.329650757812,28365.0,-32.10193836619989
129,9849.441909062523,28365.0,-32.10193836619989
130,9850.722776403334,28365.0,-32.10193836619989
131,9851.368025364496,28365.0,-32.10193836619989
132,9847.836812144213,28365.0,-32.10193836619989
133,9841.255914779143,28365.0,-32.10193836619989
134,9837.243172483368,28365.0,-32.10193836619989
135,9833.711959263086,28365.0,-32.10193836619989
136,9834.032978646746,28365.0,-32.10193836619989
137,9833.069920495762,28365.0,-32.10193836619989
138,9831.785842961113,28365.0,-32.10193836619989
139,9826.970552206181,28365.0,-32.10193836619989
140,9821.192203300268,28365.0,-32.10193836619989
141,9818.30302884731,28365.0,-32.10193836619989
142,9812.20366055773,28365.0,-32.10193836619989
143,9815.895383469844,28365.0,-32.10193836619989
144,9809.603403550069,28365.0,-32.10193836619989
145,9804.813794345833,28365.0,-32.10193836619989
146,9809.635505488435,28365.0,-32.10193836619989
147,9806.48630533471,28365.0,-32.10193836619989
148,9808.030408570125,28365.0,-32.10193836619989
149,9805.783272884491,28365.0,-32.10193836619989
150,9806.104292268154,28365.0,-32.10193836619989
151,9803.696646890688,28365.0,-32.10193836619989
152,9799.362885211252,28365.0,-32.10193836619989
153,9799.683904594913,28365.0,-32.10193836619989
154,9801.610020896886,28365.0,-32.10193836619989
155,9802.894098431532,28365.0,-32.10193836619989
156,9808.351427953787,28365.0,-32.10193836619989
157,9810.117034563928,28365.0,-32.10193836619989
158,9808.993466721111,28365.0,-32.10193836619989
159,9812.206870751568,28365.0,-32.10193836619989
160,9814.611305935196,28365.0,-32.10193836619989
161,9813.487738092379,28365.0,-32.10193836619989
162,9810.117034563928,28365.0,-32.10193836619989
163,9811.237392212908,28365.0,-32.10193836619989
164,9809.314486104773,28365.0,-32.10193836619989
165,9807.06735041914,28365.0,-32.10193836619989
166,9805.46225350083,28365.0,-32.10193836619989
167,9803.536137198857,28365.0,-32.10193836619989
168,9807.648395503566,28365.0,-32.10193836619989
169,9807.712599380298,28365.0,-32.10193836619989
170,9812.524679941393,28365.0,-32.10193836619989
171,9813.808757476041,28365.0,-32.10193836619989
172,9810.919583023082,28365.0,-32.10193836619989
173,9811.561621790408,28365.0,-32.10193836619989
174,9810.569671894891,28365.0,-32.10193836619989
175,9814.450796243365,28365.0,-32.10193836619989
176,9813.808757476041,28365.0,-32.10193836619989
177,9811.882641174068,28365.0,-32.10193836619989
178,9813.166718708717,28365.0,-32.10193836619989
179,9819.587106381958,28365.0,-32.10193836619989
180,9824.081377753226,28365.0,-32.10193836619989
181,9819.266086998296,28365.0,-32.10193836619989
182,9819.90812576562,28365.0,-32.10193836619989
183,9821.192203300268,28365.0,-32.10193836619989
184,9815.449166526554,28365.0,-32.10193836619989
185,9815.089624816852,28365.0,-32.10193836619989
186,9816.858441620829,28365.0,-32.10193836619989
187,9817.018951312662,28365.0,-32.10193836619989
188,9819.266086998296,28365.0,-32.10193836619989
189,9820.874394110442,28365.0,-32.10193836619989
190,9815.734873778014,28365.0,-32.10193836619989
191,9812.524679941393,28365.0,-32.10193836619989
192,9808.030408570125,28365.0,-32.10193836619989
193,9809.635505488435,28365.0,-32.10193836619989
194,9811.882641174068,28365.0,-32.10193836619989
195,9810.919583023082,28365.0,-32.10193836619989
196,9808.672447337449,28365.0,-32.10193836619989
197,9811.882641174068,28365.0,-32.10193836619989
198,9809.028778853313,28365.0,-32.10193836619989
199,9811.561621790408,28365.0,-32.10193836619989
200,9814.129776859703,28365.0,-32.10193836619989
201,9811.786335358971,28365.0,-32.10193836619989
202,9810.27754425576,28365.0,-32.10193836619989
203,9806.906840727308,28365.0,-32.10193836619989
204,9805.46225350083,28365.0,-32.10193836619989
205,9801.128491821393,28365.0,-32.10193836619989
206,9799.683904594913,28365.0,-32.10193836619989
207,9804.499195349843,28365.0,-32.10193836619989
208,9804.820214733505,28365.0,-32.10193836619989
209,9805.783272884491,28365.0,-32.10193836619989
210,9806.425311651814,28365.0,-32.10193836619989
211,9807.22786011097,28365.0,-32.10193836619989
212,9809.314486104773,28365.0,-32.10193836619989
213,9806.425311651814,28365.0,-32.10193836619989
214,9805.783272884491,28365.0,-32.10193836619989
215,9808.932473038214,28365.0,-32.10193836619989
216,9808.672447337449,28365.0,-32.10193836619989
217,9814.129776859703,28365.0,-32.10193836619989
218,9812.0431508659,28365.0,-32.10193836619989
219,9809.314486104773,28365.0,-32.10193836619989
220,9808.190918261957,28365.0,-32.10193836619989
221,9807.06735041914,28365.0,-32.10193836619989
222,9804.174965772345,28365.0,-32.10193836619989
223,9805.46225350083,28365.0,-32.10193836619989
224,9800.967982129561,28365.0,-32.10193836619989
225,9799.362885211252,28365.0,-32.10193836619989
226,9800.967982129561,28365.0,-32.10193836619989
227,9799.045076021426,28365.0,-32.10193836619989
228,9803.536137198857,28365.0,-32.10193836619989
229,9805.783272884491,28365.0,-32.10193836619989
230,9803.536137198857,28365.0,-32.10193836619989
231,9804.17817596618,28365.0,-32.10193836619989
232,9802.091549972378,28365.0,-32.10193836619989
233,9803.054608123364,28365.0,-32.10193836619989
234,9799.683904594913,28365.0,-32.10193836619989
235,9799.04186582759,28365.0,-32.10193836619989
236,9791.979439387025,28365.0,-32.10193836619989
237,9802.252059664208,28365.0,-32.10193836619989
238,9800.967982129561,28365.0,-32.10193836619989
239,9806.425311651814,28365.0,-32.10193836619989
240,9805.921311219467,28365.0,-32.10193836619989
241,9806.585821343646,28365.0,-32.10193836619989
242,9803.375627507026,28365.0,-32.10193836619989
243,9804.146074027816,28365.0,-32.10193836619989
244,9805.783272884491,28365.0,-32.10193836619989
245,9805.141234117167,28365.0,-32.10193836619989
246,9803.857156582519,28365.0,-32.10193836619989
247,9804.659705041673,28365.0,-32.10193836619989
248,9803.857156582519,28365.0,-32.10193836619989
249,9803.215117815196,28365.0,-32.10193836619989
250,9800.325943362237,28365.0,-32.10193836619989
251,9800.6469627459,28365.0,-32.10193836619989
252,9801.931040280548,28365.0,-32.10193836619989
253,9803.179805682992,28365.0,-32.10193836619989
254,9804.01766627435,28365.0,-32.10193836619989
255,9805.141234117167,28365.0,-32.10193836619989
256,9804.181386160019,28365.0,-32.10193836619989
257,9806.746331035476,28365.0,-32.10193836619989
258,9806.104292268154,28365.0,-32.10193836619989
259,9802.41256935604,28365.0,-32.10193836619989
260,9803.536137198857,28365.0,-32.10193836619989
261,9803.539347392692,28365.0,-32.10193836619989
262,9805.966253933178,28365.0,-32.10193836619989
263,9808.351427953787,28365.0,-32.10193836619989
264,9813.808757476041,28365.0,-32.10193836619989
265,9814.932325318858,28365.0,-32.10193836619989
266,9814.611305935196,28365.0,-32.10193836619989
267,9812.20366055773,28365.0,-32.10193836619989
268,9809.796015180265,28365.0,-32.10193836619989
269,9809.635505488435,28365.0,-32.10193836619989
270,9810.59856363942,28365.0,-32.10193836619989
271,9811.240602406746,28365.0,-32.10193836619989
272,9812.524679941393,28365.0,-32.10193836619989
273,9810.43805394759,28365.0,-32.10193836619989
274,9809.796015180265,28365.0,-32.10193836619989
275,9810.59856363942,28365.0,-32.10193836619989
276,9812.0431508659,28365.0,-32.10193836619989
277,9815.413854394352,28365.0,-32.10193836619989
278,9812.845699325055,28365.0,-32.10193836619989
279,9813.969267167871,28365.0,-32.10193836619989
280,9818.62404823097,28365.0,-32.10193836619989
281,9817.018951312662,28365.0,-32.10193836619989
282,9818.30302884731,28365.0,-32.10193836619989
283,9818.62404823097,28365.0,-32.10193836619989
284,9821.510012490091,28365.0,-32.10193836619989
285,9820.710674224772,28365.0,-32.10193836619989
286,9819.587106381958,28365.0,-32.10193836619989
287,9823.599848677732,28365.0,-32.10193836619989
288,9823.278829294071,28365.0,-32.10193836619989
289,9825.365455287874,28365.0,-32.10193836619989
290,9826.649532822521,28365.0,-32.10193836619989
291,9826.328513438859,28365.0,-32.10193836619989
292,9827.291571589845,28365.0,-32.10193836619989
293,9825.74746835443,28365.0,-32.10193836619989
294,9826.649532822521,28365.0,-32.10193836619989
295,9826.649532822521,28365.0,-32.10193836619989
